id,name,owner
3472183,FERREIRA-INTERNATIONAL-MK-PRED-02,device_SiteManager-FerreiraInternacional
5298309,FERREIRA-INTERNATIONAL-CP-03,device_SiteManager-FerreiraInternacional
6913752,FERREIRA-INTERNATIONAL-MK-PRED-01,device_SiteManager-FerreiraInternacional
6930212,FERREIRA-INTERNATIONAL-PLC-CENTRAL,device_SiteManager-FerreiraInternacional
9706840,FERREIRA-INTERNATIONAL-MK-PRED-03,device_SiteManager-FerreiraInternacional
11200325,FERREIRA-INTERNATIONAL-CP-02,device_SiteManager-FerreiraInternacional
106658431,GT-FOODS-MARINGA-MK-PRED-01,device_Sc00244bgm23.secomea.com
106657585,GT-FOODS-MARINGA-MK-PRED-03,device_Sc00244bgm23.secomea.com
106683658,GT-FOODS-MARINGA-MK-PRED-04,device_Sc00244bgm23.secomea.com
108205997,GT-FOODS-MARINGA-MK-PRED-06,device_Sc00244bgm23.secomea.com
108206632,GT-FOODS-MARINGA-MK-PRED-07,device_Sc00244bgm23.secomea.com
108211675,GT-FOODS-MARINGA-MK-PRED-10,device_Sc00244bgm23.secomea.com
108211676,GT-FOODS-MARINGA-MK-PRED-11,device_Sc00244bgm23.secomea.com
394790163,UTILIDADES-MAYEKAWA DO BRASIL,device_359180080442665
431056518,FERREIRA-INTERNATIONAL-CP-01,device_SiteManager-FerreiraInternacional
483475988,GT-FOODS-MARINGA-MK-PRED-12,device_Sc00244bgm23.secomea.com
588521892,SEARA-IPOJUCA-CP-01,device_SitemanagerSeara
588522056,SEARA-IPOJUCA-CP-02,device_SitemanagerSeara
589235216,SEARA-IPOJUCA-MKPRED-02,device_SitemanagerSeara
589239553,SEARA-IPOJUCA-MKPRED-01,device_SitemanagerSeara
620090490,MINERVA-JANAUBA-CP-01,device_SitemanagerJanauba
620893632,MINERVA-JANAUBA-MKPRED-01,device_SitemanagerJanauba
665663471,RJ-REFRESCOS,device_Sc0023eagm23.secomea.com
667360143,MYPRO-RI-MULTI,device_Sc00251egm23.secomea.com
685096077,PARKSHOPPING-JACAREPAGUA-CHILLER-01,device_Sc002b8fgm23.secomea.com
685573221,MSP - SANTO ANTONIO DA POSSE,device_359180080442301
725377021,SAUDALI-PONTE-NOVA-MKPRED-CAM-0003,device_Sc002c75gm23.secomea.com
725398541,SAUDALI-PONTE-NOVA-MKPRED-CAM-0001,device_Sc002c75gm23.secomea.com
725398813,SAUDALI-PONTE-NOVA-MKPRED-CAM-0002,device_Sc002c75gm23.secomea.com
725405901,SAUDALI-PONTE-NOVA-MKPRED-CAM-0005,device_Sc002c75gm23.secomea.com
725405903,SAUDALI-PONTE-NOVA-MKPRED-CAM-0006,device_Sc002c75gm23.secomea.com
725405904,SAUDALI-PONTE-NOVA-MKPRED-CAM-0007,device_Sc002c75gm23.secomea.com
725406918,SAUDALI-PONTE-NOVA-MKPRED-CAM-0008,device_Sc002c75gm23.secomea.com
725406920,SAUDALI-PONTE-NOVA-MKPRED-CAM-0009,device_Sc002c75gm23.secomea.com
725402729,SAUDALI-PONTE-NOVA-MKPRED-CAM-0010,device_Sc002c75gm23.secomea.com
725406921,SAUDALI-PONTE-NOVA-MKPRED-CAM-0011,device_Sc002c75gm23.secomea.com
725403816,SAUDALI-PONTE-NOVA-MKPRED-CAM-0012,device_Sc002c75gm23.secomea.com
727860646,SAUDALI-PONTE-NOVA-CP-CAM-0001,device_Sc002c75gm23.secomea.com
727857467,SAUDALI-PONTE-NOVA-CP-CAM-0002,device_Sc002c75gm23.secomea.com
727859713,SAUDALI-PONTE-NOVA-CP-CAM-0005,device_Sc002c75gm23.secomea.com
727860738,SAUDALI-PONTE-NOVA-CP-CAM-0007,device_Sc002c75gm23.secomea.com
727860995,SAUDALI-PONTE-NOVA-CP-CAM-0008,device_Sc002c75gm23.secomea.com
727859716,SAUDALI-PONTE-NOVA-CP-CAM-0009,device_Sc002c75gm23.secomea.com
727859717,SAUDALI-PONTE-NOVA-CP-CAM-0010,device_Sc002c75gm23.secomea.com
727860997,SAUDALI-PONTE-NOVA-CP-CAM-0011,device_Sc002c75gm23.secomea.com
727859719,SAUDALI-PONTE-NOVA-CP-CAM-0012,device_Sc002c75gm23.secomea.com
804187868,SOLAR MARACANAÚ,device_356136076430745
822583062,MINERVA-ROLIM-DE-MOURA-MKPRED-02,device_Sc002bc9gm23.secomea.com
823002846,MINERVA-ROLIM-DE-MOURA-MKPRED-01,device_Sc002bc9gm23.secomea.com
823002847,MINERVA-ROLIM-DE-MOURA-MKPRED-03,device_Sc002bc9gm23.secomea.com
830673593,ALEGRA-CASTRO-PR-CP-01,device_Sc002b67gm23.secomea.com
830675097,ALEGRA-MK-PRED-05,device_Sc002b67gm23.secomea.com
830792444,ALEGRA-CASTRO-PR-CP-02,device_Sc002b67gm23.secomea.com
830790647,ALEGRA-CASTRO-PR-CP-03,device_Sc002b67gm23.secomea.com
830792447,ALEGRA-CASTRO-PR-CP-05,device_Sc002b67gm23.secomea.com
830791289,ALEGRA-CASTRO-PR-CP-06,device_Sc002b67gm23.secomea.com
830806331,ALEGRA-CASTRO-PR-CP-04,device_Sc002b67gm23.secomea.com
858909921,VIBRA-SETE-LAGOAS-CP-16,device_Sc002fc1gm23.secomea.com
859494637,VIBRA-SETE-LAGOAS-MKPRED-16,device_Sc002fc1gm23.secomea.com
859512688,VIBRA-SETE-LAGOAS-MKPRED-17,device_Sc002fc1gm23.secomea.com
859513552,VIBRA-SETE-LAGOAS-MKPRED-19,device_Sc002fc1gm23.secomea.com
859511723,VIBRA-SETE-LAGOAS-MKPRED-20,device_Sc002fc1gm23.secomea.com
859512695,VIBRA-SETE-LAGOAS-MKPRED-22,device_Sc002fc1gm23.secomea.com
859527311,VIBRA-SETE-LAGOAS-CP-17,device_Sc002fc1gm23.secomea.com
859528267,VIBRA-SETE-LAGOAS-CP-19,device_Sc002fc1gm23.secomea.com
859527564,VIBRA-SETE-LAGOAS-CP-20,device_Sc002fc1gm23.secomea.com
859529974,VIBRA-SETE-LAGOAS-CP-22,device_Sc002fc1gm23.secomea.com
870503852,Femsa Curitiba,device_356136076434259
876649871,DHL BARUERI - SP,device_359180085319603
880521005,PARKSHOPPING-JACAREPAGUA-CHILLER-02,device_Sc002b8fgm23.secomea.com
904392908,Gerador Mayekawa 2 #1,service_device-simulator
909993591,MUNDIAL-SL02-CP01,device_Sc003175gm23.secomea.com
909997044,MUNDIAL-SL02-CP02,device_Sc003175gm23.secomea.com
909996340,MUNDIAL-SL02-CP03,device_Sc003175gm23.secomea.com
909996341,MUNDIAL-SL02-MK-PRED-01,device_Sc003175gm23.secomea.com
909995516,MUNDIAL-SL02-MK-PRED-02,device_Sc003175gm23.secomea.com
910017130,MUNDIAL-SL02-MK-PRED-03,device_Sc003175gm23.secomea.com
910063781,MUNDIAL-SL01-CP01,device_Sc00316egm23.secomea.com
910063782,MUNDIAL-SL01-CP02,device_Sc00316egm23.secomea.com
910065623,MUNDIAL-SL01-CP03,device_Sc00316egm23.secomea.com
910064289,MUNDIAL-SL01-MK-PRED-01,device_Sc00316egm23.secomea.com
910065624,MUNDIAL-SL01-MK-PRED-02,device_Sc00316egm23.secomea.com
910065628,MUNDIAL-SL01-MK-PRED-03,device_Sc00316egm23.secomea.com
936447261,NORSA-SANTO-AGOSTINHO-MKPRED-01,device_Sc002db8gm23.secomea.com
943231581,NORSA-SANTO-AGOSTINHO-CP01,device_Sc002db8gm23.secomea.com
957396763,CIUPSIA-URUGUAI,device_Sc002355gm23.secomea.com
960085429,MYPROTOUCH_03,device_Sc0023eagm23.secomea.com
964012386,MYPROTOUCH_02,device_Sc0023eagm23.secomea.com
1005926980,BRF-NOVAMUTUM-CP-11-USAT,device_Sc0023begm23.secomea.com
1005929832,BRF-NOVAMUTUM-CP-12-USAT,device_Sc0023begm23.secomea.com
1005973493,BRF-NOVAMUTUM-CP-13-USAT,device_Sc0023begm23.secomea.com
1010666980,MYPROTOUCH_07,device_Sc0023eagm23.secomea.com
1015710818,COROAVES-MARINGA-MKPRED-01,device_Sc00343agm23.secomea.com
1023257666,COROAVES-MARINGA-MKPRED-02,device_Sc00343agm23.secomea.com
1023256489,COROAVES-MARINGA-MKPRED-03,device_Sc00343agm23.secomea.com
1023257675,COROAVES-MARINGA-MKPRED-04,device_Sc00343agm23.secomea.com
1023257676,COROAVES-MARINGA-MKPRED-05,device_Sc00343agm23.secomea.com
1023262119,COROAVES-MARINGA-MKPRED-06,device_Sc00343agm23.secomea.com
1029214995,MYPROTOUCH_04,device_Sc0023eagm23.secomea.com
1029215000,MYPROTOUCH_05,device_Sc0023eagm23.secomea.com
1029744067,MYPROTOUCH_01,device_Sc0023eagm23.secomea.com
1052934755,BRF-NOVAMUTUM-MKPRED-11,device_Sc0023begm23.secomea.com
1054365435,ECOGEN-MKPRED-CP-01-NH3,device_Sc00354fgm23.secomea.com
